min,max,woe,odds,accur
-999999.000000,0.010000,2.505228,9.058027,0.901
0.010000,0.110000,1.816164,4.547544,0.820
0.110000,0.210000,1.630058,3.775307,0.791
0.210000,0.290000,1.550071,3.485091,0.777
0.290000,0.370000,1.227004,2.522945,0.716
0.370000,0.450000,0.796512,1.640391,0.621
0.450000,0.530000,0.414384,1.119416,0.528
0.530000,0.610000,0.091057,0.810163,0.448
0.610000,0.680000,-0.128868,0.650220,0.394
0.680000,0.750000,-0.385048,0.503272,0.335
0.750000,0.800000,-0.720064,0.360004,0.265
0.800000,0.830000,-0.871345,0.309461,0.236
0.830000,0.870000,-0.875875,0.308063,0.236
0.870000,0.910000,-0.840962,0.319008,0.242
0.910000,0.950000,-0.912110,0.297100,0.229
0.950000,0.990000,-0.987993,0.275389,0.216
0.990000,1.000000,-1.130020,0.238927,0.193
1.000000,999999.000000,-1.407551,0.181024,0.153
